EventID,AssignmentID,SubjectID,EventType,EditType,X-CodeState,X-ElapsedTime,X-Intervene,X-Why,X-How
2300300,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print(
    )
};",233,,,
2300301,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print()
    )
};",233,,,
2300302,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print(')
    )
};",235,,,
2300303,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print('')
    )
};",235,,,
2300304,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print('K')
    )
};",236,,,
2300305,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print('Ki')
    )
};",237,,,
2300306,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print('Kii')
    )
};",237,,,
2300307,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print('Kiit')
    )
};",237,,,
2300308,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print('Kiito')
    )
};",237,,,
2300309,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print('Kiitos')
    )
};",237,,,
2300310,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print('Kiitos!')
    )
};",237,,,
2300311,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print('Kiitos!');
    )
};",241,,,
2300312,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print('Kiitos!');
    
};",255,,,
2300313,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print('Kiitos!');
    }
};",256,,,
2300314,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea'
    print('Kiitos!');
    
};",260,,,
2300315,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  
}

kysySalas'ana(s'alasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea')
    print('Kiitos!');
    
};",269,,,
2300316,A79,S148,File.Run,init,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea')
    print('Kiitos!');
    
}",274,R,,
2300316,A79,S148,File.Run,format,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea')
    print('Kiitos!');
    
}",274,,,
2300317,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (
    salasana == 'oikea')
    print('Kiitos!');
    
}",280,Y,subgoal,Well done! You're making progress: you have two print statements that will generate the correct output if they're executed at the right time.
2300322,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea')
    print('Kiitos!');
    
}",337,,,
2300328,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea')
    print('Kiitos!');
    else
      
}",343,,,
2300331,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea')
    print('Kiitos!');
    else
    {
}",345,,,
2300332,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea')
    print('Kiitos!');
    else
    {}
}",345,,,
2300333,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea')
    print('Kiitos!');
    else
    {print('Kirjoita salasana.');}
}",391,,,
2300342,A79,S148,File.Run,init,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea')
    print('Kiitos!');
    else {
      print('Kirjoita salasana.');
    }
}",407,R,,
2300342,A79,S148,File.Run,format,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea')
    print('Kiitos!');
    else {
      print('Kirjoita salasana.');
    }
}",407,,,
2300348,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea')
    print('Kiitos!');
}",430,,,
2300349,A79,S148,File.Run,init,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea')
    print('Kiitos!');
}",432,D,logical,Consider using a loop to repeat the functionality in the program.
2300351,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea')
    
    print('Kiitos!');
}",614,,,
2300356,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea')
    break
    print('Kiitos!');
}",615,,,
2300357,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea')
    break;
    print('Kiitos!');
}",615,D,compiler,
2300358,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea'){
    break;
    print('Kiitos!');
}",635,,,
2300360,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea'){
    break;
    print('Kiitos!');
}
  ",640,D,compiler,
2300362,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea'){
    break;
    print('Kiitos!');
}
}",641,,,
2300363,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea'){
    break;
    print('Kiitos!');
  }
}",643,,,
2300368,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea'){
    break;
  }
}",651,,,
2300370,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea'){
    
    break;
  }
}",654,,,
2300371,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea'){
     print('Kiitos!');
    break;
  }
}",654,,,
2300374,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea'){
    break;
  }
}",659,,,
2300378,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea'){
    break;
  }
  
  
}",661,,,
2300385,A79,S148,File.Edit,delete,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea'){
    break;
  }
}
  print('Kiitos!');
}",675,,,
2300386,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana == 'oikea'){
    break;
  }

  print('Kiitos!');
}",677,,,
2300388,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana != 'oikea'){
    break;
  }

  print('Kiitos!');
}",714,,,
2300389,A79,S148,File.Edit,delete,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana != 'oikea'){
    ;
  }

  print('Kiitos!');
}",724,,,
2300397,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  if (salasana != 'oikea'){
    continue;
  }

  print('Kiitos!');
}",724,D,compiler,
2300401,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }

  print('Kiitos!');
}",755,,,
2300407,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while 
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }

  print('Kiitos!');
}",758,,,
2300408,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while (
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }

  print('Kiitos!');
}",758,,,
2300409,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while ()
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }

  print('Kiitos!');
}",758,,,
2300417,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while (true)
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }

  print('Kiitos!');
}",760,,,
2300418,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true)
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }

  print('Kiitos!');
}",761,,,
2300419,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }

  print('Kiitos!');
}",764,,,
2300422,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
}    
  print('Kiitos!');
}",769,Y,subgoal,Nice! You're making progress: you are processing input inside a loop. You'll need to identify when to exit the loop.
2300422,A79,S148,File.Edit,delete,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  print('Kiitos!');
}",769,,,
2300429,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
    
    
  print('Kiitos!');
}",775,,,
2300435,A79,S148,File.Edit,paste,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
    

}",779,,,
2300440,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
    
  }
}",799,,,
2300443,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if   
  }
}",803,,,
2300444,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (  
  }
}",803,,,
2300445,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if ()  
  }
}",803,,,
2300454,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana )  
  }
}",805,,,
2300457,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == )  
  }
}",807,,,
2300463,A79,S148,File.Edit,edit,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea)  
  }
}",808,,,
2300464,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea')  
  }
}",810,,,
2300465,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea'){  
  }
}",814,,,
2300471,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea'){
    
  }  
  }
}",817,,,
2300473,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea'){
    v
  }  
  }
}",818,,,
2300473,A79,S148,File.Edit,delete,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea'){
    
  }  
  }
}",818,,,
2300478,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea'){
    break
  }  
  }
}",818,D,subgoal,
2300479,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea'){
    break;
  }  
  }
}",819,D,semantic,
2300496,A79,S148,File.Edit,format,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea'){
    break;
    }  
  }
  
}",847,,,
2300501,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea'){
    break;
    }  
  }
  print
}",849,,,
2300502,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea'){
    break;
    }  
  }
  print(
}",850,,,
2300504,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea'){
    break;
    }  
  }
  print(')
}",853,,,
2300512,A79,S148,File.Edit,insert,"import 'dart:io';

main() {
  kysySalasana('oikea');
}

kysySalasana(salasana) {
  while(true){
  print('Kirjoita salasana.');
  var salasana = int.parse(stdin.readLineSync());
  
  if (salasana != 'oikea'){
    continue;
  }
  
  if (salasana == 'oikea'){
    break;
    }  
  }
  print('Kiitos!')
}",855,,,
